Channel,Elevation,Azimuth
1,15.1224,0.0911857
2,13.4286,0.0822049
3,11.8984,1.25591
4,10.625,1.26986
5,9.97051,0.100339
6,9.29505,0.0977456
7,8.62245,0.0962303
8,7.94388,0.0959612
9,7.60104,1.29172
10,7.24832,1.29382
11,6.90875,1.29642
12,6.54876,1.29823
13,6.20446,1.29994
14,5.84639,1.30216
15,5.4935,1.30375
16,5.12511,1.29632
17,4.76437,0.096078
18,4.40855,0.0928684
19,4.04179,0.091761
20,3.67889,0.091761
21,3.31647,0.0782573
22,2.94788,0.0793063
23,2.58404,0.077765
24,2.21954,0.0772103
25,2.09151,-3.13567
26,1.97923,1.29291
27,1.85934,4.502
28,1.72188,-3.1404
29,1.6074,1.29229
30,1.48529,4.50607
31,1.35581,-3.14364
32,1.24564,1.29494
33,1.11637,4.50089
34,0.982778,-3.15453
35,0.866703,1.29007
36,0.746209,4.50215
37,0.608049,-3.15534
38,0.494397,1.28809
39,0.375561,4.50624
40,0.232766,-3.16216
41,0.114257,0.0818664
42,-0.0101795,2.9111
43,-0.133521,-1.54685
44,-0.260088,0.0793319
45,-0.388935,2.91091
46,-0.509276,-1.54579
47,-0.635948,0.0807213
48,-0.75846,2.91181
49,-0.885302,-1.54701
50,-1.00338,0.0808554
51,-1.13664,2.91383
52,-1.2595,-1.54768
53,-1.37992,0.0795477
54,-1.50886,2.91831
55,-1.63363,-1.54909
56,-1.76011,0.0778175
57,-1.88113,2.92266
58,-2.00904,-1.55021
59,-2.13041,0.0764586
60,-2.25704,2.92152
61,-2.38023,-1.55272
62,-2.50601,0.0753567
63,-2.63678,2.92405
64,-2.75635,-1.55151
65,-2.88273,1.29951
66,-3.00433,4.54257
67,-3.14315,-3.18337
68,-3.26714,1.29364
69,-3.38705,4.536
70,-3.51894,-3.18999
71,-3.63989,1.29344
72,-3.75853,4.53801
73,-3.89621,-3.19113
74,-4.02097,1.29591
75,-4.13563,4.54244
76,-4.26684,-3.195
77,-4.40009,1.29373
78,-4.51678,4.54291
79,-4.64373,-3.19404
80,-4.77124,1.29384
81,-4.88797,4.54352
82,-5.02194,-3.19767
83,-5.1481,1.29411
84,-5.2654,4.54698
85,-5.39724,-3.20453
86,-5.52355,1.29686
87,-5.63889,4.5485
88,-5.77266,-3.20591
89,-5.89642,0.0732716
90,-6.27442,0.0718894
91,-6.65287,0.0678776
92,-7.02395,0.0663142
93,-7.41342,0.0572848
94,-7.79063,0.054901
95,-8.15979,0.0531064
96,-8.53396,0.0530714
97,-8.90991,1.28915
98,-9.28604,1.28857
99,-9.6517,1.28591
100,-10.0248,1.2849
101,-10.3974,1.28688
102,-10.7686,1.28408
103,-11.1365,1.28359
104,-11.5119,1.27615
105,-11.8834,0.0423682
106,-12.2532,0.0392726
107,-12.6208,0.0367257
108,-12.9797,0.0332261
109,-13.3498,0.0447046
110,-13.7159,0.0413229
111,-14.0687,0.0379781
112,-14.4368,0.0347537
113,-14.7901,1.28005
114,-15.1463,1.27849
115,-15.5062,1.27614
116,-15.8646,1.26609
117,-16.2237,1.26269
118,-16.5666,1.25956
119,-16.9253,1.25683
120,-17.2675,1.25303
121,-17.6251,0.0302452
122,-18.3142,0.022546
123,-18.9906,0.0155704
124,-19.6527,0.00983628
125,-20.3027,1.25173
126,-21.5961,1.23681
127,-22.9824,0.017758
128,-24.7015,0.0595041
