Channel,Elevation,Azimuth
1,14.9976,0.0871341
2,13.3035,0.0782451
3,11.7805,1.25296
4,10.5111,1.26212
5,9.84555,0.083571
6,9.1753,0.0858347
7,8.50548,0.0852919
8,7.82528,0.083755
9,7.47531,1.27583
10,7.12656,1.28222
11,6.78351,1.28152
12,6.42816,1.28918
13,6.07602,1.28872
14,5.71986,1.29221
15,5.36556,1.29317
16,5.00072,1.28783
17,4.63903,0.0890134
18,4.28188,0.0885135
19,3.91593,0.0907308
20,3.55456,0.0876166
21,3.19087,0.0757044
22,2.82385,0.0773847
23,2.45695,0.0766299
24,2.09488,0.0741765
25,1.96829,-3.13177
26,1.8528,1.29374
27,1.72906,4.4953
28,1.6063,-3.13812
29,1.48411,1.29155
30,1.3567,4.50132
31,1.23758,-3.14117
32,1.12114,1.2928
33,0.982151,4.4957
34,0.862727,-3.15263
35,0.741254,1.28332
36,0.613937,4.49802
37,0.487563,-3.15764
38,0.366067,1.28566
39,0.240517,4.49998
40,0.11601,-3.16394
41,-0.00876653,0.0818663
42,-0.123821,2.91039
43,-0.253276,-1.5437
44,-0.381563,0.0791791
45,-0.502585,2.91114
46,-0.631057,-1.5447
47,-0.754123,0.0783073
48,-0.871344,2.9156
49,-1.00715,-1.54586
50,-1.1247,0.0787819
51,-1.24495,2.91634
52,-1.37993,-1.54587
53,-1.50235,0.0763058
54,-1.62084,2.91512
55,-1.7537,-1.55215
56,-1.88343,0.0767983
57,-1.99684,2.92053
58,-2.12766,-1.55346
59,-2.24959,0.0750316
60,-2.37209,2.91896
61,-2.50055,-1.55544
62,-2.62413,0.0723923
63,-2.74889,2.92263
64,-2.87755,-1.55594
65,-3.00315,1.29478
66,-3.13077,4.53694
67,-3.26323,-3.1878
68,-3.39056,1.28775
69,-3.51106,4.52823
70,-3.63645,-3.19383
71,-3.76284,1.28794
72,-3.88185,4.53169
73,-4.01126,-3.19654
74,-4.14146,1.28488
75,-4.26014,4.53522
76,-4.3818,-3.20021
77,-4.51717,1.28484
78,-4.63856,4.53817
79,-4.76239,-3.20243
80,-4.88795,1.28616
81,-5.00976,4.54149
82,-5.13915,-3.20662
83,-5.26743,1.28481
84,-5.38422,4.5422
85,-5.50971,-3.21317
86,-5.64446,1.28441
87,-5.75957,4.54078
88,-5.88436,-3.21318
89,-6.01266,0.0619566
90,-6.38744,0.0586049
91,-6.76762,0.0567763
92,-7.13767,0.0573067
93,-7.52512,0.0447852
94,-7.90157,0.0436159
95,-8.27454,0.0407286
96,-8.6517,0.0402076
97,-9.02384,1.26988
98,-9.39899,1.26922
99,-9.76492,1.27025
100,-10.1408,1.26838
101,-10.5172,1.26863
102,-10.8825,1.26893
103,-11.2538,1.26618
104,-11.6315,1.25573
105,-12.0018,0.0239603
106,-12.3731,0.0218893
107,-12.7416,0.024428
108,-13.1032,0.0243421
109,-13.4699,0.0323453
110,-13.8353,0.032058
111,-14.1894,0.0314496
112,-14.5579,0.0273827
113,-14.9103,1.27153
114,-15.2675,1.27482
115,-15.6231,1.27108
116,-15.9829,1.26318
117,-16.3383,1.26165
118,-16.6822,1.26097
119,-17.0408,1.25817
120,-17.3816,1.25731
121,-17.7418,0.0284774
122,-18.4305,0.0252884
123,-19.0987,0.0189759
124,-19.7573,0.0135614
125,-20.4171,1.25352
126,-21.7059,1.23387
127,-23.0882,0.0104013
128,-24.7967,0.00726012
