Channel,Elevation,Azimuth
1,15.0931,0.0754008
2,13.3815,0.0692408
3,11.8658,1.25105
4,10.5861,1.26063
5,9.92354,0.0821419
6,9.25678,0.0821277
7,8.5819,0.082243
8,7.89858,0.0839448
9,7.54878,1.28329
10,7.20801,1.28475
11,6.85447,1.28936
12,6.51008,1.29021
13,6.14903,1.29348
14,5.80078,1.29431
15,5.44252,1.29776
16,5.07637,1.29097
17,4.71922,0.0897266
18,4.35151,0.0898187
19,3.99093,0.0898051
20,3.63317,0.0875562
21,3.26432,0.0765308
22,2.89714,0.0762882
23,2.53901,0.0749928
24,2.16757,0.0767666
25,2.04248,-3.13476
26,1.9273,1.29562
27,1.80271,4.5057
28,1.67246,-3.13698
29,1.56025,1.29785
30,1.43504,4.51043
31,1.30103,-3.14091
32,1.19257,1.3001
33,1.06693,4.50595
34,0.929484,-3.15261
35,0.809561,1.28973
36,0.693752,4.50883
37,0.555055,-3.15707
38,0.43796,1.28952
39,0.317226,4.50962
40,0.182092,-3.15909
41,0.0661254,0.0818664
42,-0.059248,2.90921
43,-0.186188,-1.53976
44,-0.308945,0.081934
45,-0.436139,2.91147
46,-0.564636,-1.54366
47,-0.684669,0.0858339
48,-0.801841,2.91495
49,-0.93867,-1.54308
50,-1.0589,0.08169
51,-1.18213,2.91912
52,-1.30838,-1.54324
53,-1.43271,0.0837773
54,-1.55723,2.92499
55,-1.68536,-1.54345
56,-1.81182,0.0819922
57,-1.9295,2.92665
58,-2.06085,-1.54078
59,-2.17961,0.0825517
60,-2.3041,2.9278
61,-2.43525,-1.54562
62,-2.55813,0.0842391
63,-2.67687,2.93143
64,-2.81084,-1.54626
65,-2.93034,1.30793
66,-3.05414,4.54962
67,-3.19886,-3.18203
68,-3.31622,1.29936
69,-3.43691,4.54491
70,-3.5727,-3.18276
71,-3.68669,1.30001
72,-3.81138,4.54599
73,-3.94959,-3.18371
74,-4.06281,1.30099
75,-4.18732,4.54845
76,-4.32378,-3.18844
77,-4.4422,1.30478
78,-4.56256,4.5522
79,-4.70253,-3.1901
80,-4.81422,1.30402
81,-4.93387,4.55277
82,-5.07918,-3.19138
83,-5.19697,1.30533
84,-5.31418,4.55768
85,-5.44747,-3.19595
86,-5.57114,1.30767
87,-5.69088,4.5585
88,-5.82351,-3.19688
89,-5.94477,0.0848387
90,-6.32037,0.0832424
91,-6.70092,0.0848768
92,-7.075,0.0795525
93,-7.45881,0.0703175
94,-7.83571,0.0687597
95,-8.2129,0.0652298
96,-8.58465,0.0653119
97,-8.95513,1.30402
98,-9.32872,1.30571
99,-9.69931,1.30638
100,-10.0785,1.30385
101,-10.4491,1.3006
102,-10.8146,1.3014
103,-11.1865,1.30071
104,-11.5688,1.29168
105,-11.9376,0.0529684
106,-12.3022,0.0550244
107,-12.6728,0.05456
108,-13.0369,0.0518722
109,-13.4017,0.0594857
110,-13.7689,0.0595593
111,-14.1284,0.0554486
112,-14.4884,0.052652
113,-14.8437,1.3039
114,-15.2028,1.29851
115,-15.5507,1.29959
116,-15.9153,1.28746
117,-16.2731,1.28568
118,-16.6202,1.28281
119,-16.971,1.28326
120,-17.3233,1.27731
121,-17.6736,0.0573854
122,-18.3615,0.0495701
123,-19.0358,0.0424213
124,-19.7041,0.0350452
125,-20.3515,1.27502
126,-21.6317,1.25928
127,-23.0166,0.0398408
128,-24.7569,0.0690229
